fecha_ingreso,anio,mes,estado,proveedor_top,nombre_comercial,tipo_servicio,problema_clasificado,motivo_reclamacion,estado_procesal,resuelta,monto_reclamado,monto_recuperado,porcentaje_recuperado,dias_resolucion
2025-01-09,2025,1,Hidalgo,IZZI,IZZI,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,0.0,0.0,41.0
2025-01-09,2025,1,Michoacán,TOTALPLAY,TOTALPLAY,Internet,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,580.0,580.0,1.0,0.0
2025-01-09,2025,1,Estado de México,OTROS,DISH,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,DESISTIMIENTO,False,0.0,0.0,0.0,71.0
2025-01-09,2025,1,Estado de México,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A HACERLA EFECTIVA,CONCILIADA,True,1499.5,1499.5,1.0,89.0
2025-01-09,2025,1,Ciudad de México,IZZI,IZZI,TV,Facturación y Pagos,NO RESPETO ACUERDO PREVIO,CONCILIADA,True,150.0,150.0,1.0,124.0
2025-01-09,2025,1,San Luis Potosí,TELCEL,TELCEL,Telefonía Móvil,Contratos y Condiciones,MODIFICACION O RESCISION SIN AVISO NI AUTORIZACION,CONCILIADA,True,1729.0,801.59,0.46361480624638524,47.0
2025-01-09,2025,1,Estado de México,AT&T,AT&T,Telefonía Móvil,"Entrega, Cambios y Garantías",DEFECTOS DE FABRICACION,DESISTIMIENTO,False,999.0,0.0,0.0,77.0
2025-01-10,2025,1,Aguascalientes,TELMEX,TELMEX,Telefonía Móvil,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,0.0,0.0,54.0
2025-01-10,2025,1,Ciudad de México,TELMEX,TELMEX,Telefonía Fija,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,0.0,0.0,90.0
2025-01-10,2025,1,Ciudad de México,IZZI,IZZI,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,549.0,549.0,1.0,147.0
2025-01-10,2025,1,Durango,AT&T,AT&T,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,38.0
2025-01-10,2025,1,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,CONCILIADA,True,0.0,597.0,0.0,13.0
2025-01-10,2025,1,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,CONCILIADA,True,0.0,1300.0,0.0,10.0
2025-01-10,2025,1,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A CAMBIO O DEVOLUCION,DESISTIMIENTO,False,0.0,0.0,0.0,18.0
2025-01-10,2025,1,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,DESISTIMIENTO,False,0.0,0.0,0.0,12.0
2025-01-10,2025,1,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,NO CONCILIADA,True,0.0,0.0,0.0,14.0
2025-01-10,2025,1,Ciudad de México,OTROS,DISH,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,DESISTIMIENTO,False,0.0,0.0,0.0,41.0
2025-01-10,2025,1,Ciudad de México,IZZI,IZZI,TV,Facturación y Pagos,CUOTA EXTRAORDINARIA,DESISTIMIENTO,False,0.0,0.0,0.0,35.0
2025-01-10,2025,1,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,42.0
2025-01-10,2025,1,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,CONCILIADA,True,0.0,0.0,0.0,13.0
2025-01-10,2025,1,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,0.0,0.0,7.0
2025-01-10,2025,1,Ciudad de México,AT&T,AT&T,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,DESISTIMIENTO,False,0.0,0.0,0.0,20.0
2025-01-10,2025,1,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,124.0,0.0,13.0
2025-01-10,2025,1,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,76.0
